system   D            wsystem.c:583  maybe_parent_dir                 [   0.00333] Also searching C:\Users\Marcin\Desktop\Reversi\
display  D   display_settings.c:357  _al_score_display_settings       [   0.10578] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10580] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10582] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10583] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10585] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10587] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10589] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10590] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10592] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10595] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10597] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10602] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10604] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.10606] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10607] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10609] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10611] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10612] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10614] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.10616] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.10617] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.10619] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.10621] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.10622] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.10624] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.10626] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.10627] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.10629] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.10631] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.10632] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.10634] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.10636] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.10637] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.10639] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.10641] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.10642] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.10644] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.10646] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.10647] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.10649] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.10651] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.10652] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.10654] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.10656] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.10658] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.10660] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.10663] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.10665] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.10668] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.10671] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.10673] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.10676] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.10678] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.10681] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.10683] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.10686] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.10688] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.10691] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.10694] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10696] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10699] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10701] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10704] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10707] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10709] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10712] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10715] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10717] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10720] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10723] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10725] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10728] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10731] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10733] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10736] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10739] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10741] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10744] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10747] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10749] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10752] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10755] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10757] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10760] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10763] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10765] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10768] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10771] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10773] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10776] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10779] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10781] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10784] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10787] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10789] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10792] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10795] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10797] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10800] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10803] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10805] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10808] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10811] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.10813] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10816] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10818] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10821] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10823] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10826] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10829] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.10831] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10834] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10836] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10839] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10841] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10844] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10847] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10849] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10852] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10854] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10857] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10860] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10862] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10865] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10867] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10870] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10873] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10875] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10878] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10880] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10883] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10885] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10888] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10891] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10893] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10896] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10898] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10901] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10903] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10906] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10909] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10911] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10914] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10916] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10919] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10921] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10924] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10936] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10939] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10942] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10944] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10947] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10949] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10952] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10954] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10957] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10960] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10962] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.10965] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.10967] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.10970] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.10972] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.10974] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.10977] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.10980] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.10982] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.10985] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10987] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10990] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10993] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10996] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.10999] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11001] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11004] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11006] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11008] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11011] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11013] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11016] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11019] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11021] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11024] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11026] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11029] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11031] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11034] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11037] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11039] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11042] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11045] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11047] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11050] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11052] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11055] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11058] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11060] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11063] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11065] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11068] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11071] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11073] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11076] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11078] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11089] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11094] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11098] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11102] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11105] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11108] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11110] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11113] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11116] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11118] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11121] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11123] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11126] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11129] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11131] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11134] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11136] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11139] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11141] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11144] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11147] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11150] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11152] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11155] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11159] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.11161] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.11164] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.11167] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.11170] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.11172] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.11175] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.11178] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.11180] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.11183] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.11185] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.11188] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.11190] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.11193] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.11196] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.11198] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.11208] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.11211] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.11214] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.11217] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.11220] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.11223] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.11225] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.11228] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.11230] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.11233] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.11236] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.11238] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.11241] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.11244] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.11246] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.11249] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.11251] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.11254] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.11257] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.11259] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.11261] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.11264] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.11266] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.11269] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.11271] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.11274] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.11276] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.11279] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.11281] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.11284] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.11286] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.11289] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.11291] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.11293] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.11296] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.11298] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.11301] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.11303] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.11306] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.11308] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.11311] Score is : 585
